,Instrument,GICS Sector Name,Income Avail to Cmn Shareholders Excl Extra,EBITDA,EBIT,Total Equity,Company Market Cap,Enterprise Value (Daily Time Series)
0,BCC.N,Industrials,163625000.0,360192000.0,262371000.0,701330000,1975741790.4,1947312790.4
1,ASPS.OQ,Real Estate,-364354000.0,16348000.0,-14362000.0,-22826000,166512903.76,359369903.76
2,CIT.N,Financials,-646400000.0,1214900000.0,862000000.0,5722900000,4410550182.36,5661150182.36
3,MSCI.N,Financials,595522000.0,971510000.0,884764000.0,,34787732486.4,36850657486.4
4,FIS.N,Information Technology,157000000.0,5261000000.0,1547000000.0,49300000000,82751056768.64,97742056768.6402
5,FMNB.OQ,Financials,41876000.0,66698000.0,64049000.0,350097000,394232245.2,218517245.200001
6,HSC.N,Industrials,-22954000.0,191453000.0,36095000.0,741580000,1511243429.9,2738900429.9
7,KALV.OQ,Health Care,-37115000.0,-48380000.0,-48905000.0,83752000,672113538.36,616239538.360001
8,DRNA.OQ,Health Care,-115831000.0,-120879000.0,-122922000.0,152195000,1942161908.48,1332248908.48
9,NERV.OQ,Health Care,-20652220.0,-23203760.0,-23221240.0,27779540,142959544.85,110443714.85
10,PLYM.N,Real Estate,-27739000.0,56858000.0,4182000.0,236658000,374429719.95,906282719.950001
11,EEX.N,Communication Services,-650800000.0,-18000000.0,-68000000.0,640200000,338628823.2,534028823.2
12,JBSS.OQ,Consumer Staples,56420000.0,99486000.0,81688000.0,238238000,1044897764.69,1070410764.69
13,AMC.N,Communication Services,-3656800000.0,-471700000.0,-950300000.0,1214200000,1966625383.6,7501925383.6
14,AVYA.N,Information Technology,-641000000.0,670000000.0,247000000.0,364000000,2761247697.09,5046247697.09
15,COLB.OQ,Financials,,,,2347607000,3048251967.09,2938303967.09001
16,ALRM.OQ,Information Technology,74921000.0,96083000.0,69265000.0,355651000,5003537793.48,4878072793.48001
17,ATLO.OQ,Financials,,,,209486430,208910906.3,216653336.3
18,SAM.N,Consumer Staples,146638000.0,297604000.0,234048000.0,735636000,13813579458.56,13660887458.56
19,ACCD.OQ,Health Care,-48065000.0,-35020000.0,-43212000.0,-23773000,2888778012.12,2469840012.12
20,IRTC.OQ,Health Care,-51479000.0,-45708000.0,-51818000.0,135409000,5103888920.48,4811597920.48001
21,IIN.OQ,Health Care,-2849000.0,2639000.0,-1501000.0,90745000,191477551.7,161273551.7
22,EXC.OQ,Utilities,2376000000.0,9661000000.0,3975000000.0,32224000000,42261799097.16,81782799097.16
23,SYX.N,Industrials,59100000.0,81600000.0,77400000.0,175500000,1628562207.3,1550162207.3
24,AAOI.OQ,Information Technology,-80442000.0,-8803000.0,-33135000.0,273794000,269970890.5,373169890.5
25,EXTN.N,Energy,-149389000.0,142838000.0,-3937000.0,409538000,166628684.25,655066684.25
26,EFX.N,Industrials,,,,,22260660765.0,25140260765.0
27,ORIC.OQ,Health Care,-53798000.0,-40698000.0,-41704000.0,87974000,1207314085.12,1020704085.12
28,CVET.OQ,Health Care,-104000000.0,89000000.0,-77000000.0,1256000000,4990983246.06,5866983246.06
29,CXW.N,Industrials,54157000.0,440374000.0,289513000.0,1390171000,939128595.6,2762273595.6
30,TRN.N,Industrials,-172300000.0,575700000.0,303100000.0,2030100000,3586956089.52,8677556089.52
