,Instrument,GICS Sector Name,Income Avail to Cmn Shareholders Excl Extra,EBITDA,EBIT,Total Equity,Company Market Cap,Enterprise Value (Daily Time Series)
0,BCC.N,Industrials,163625000.0,360192000.0,262371000.0,701330000,1969077581.98,1940648581.98
1,ASPS.OQ,Real Estate,-364354000.0,16348000.0,-14362000.0,-22826000,184197074.93,377054074.93
2,CIT.N,Financials,-646400000.0,1214900000.0,862000000.0,5722900000,4012457627.92,5263057627.92
3,MSCI.N,Financials,595522000.0,971510000.0,884764000.0,,35660617257.6,37723542257.6001
4,FIS.N,Information Technology,-104000000.0,5561000000.0,1535000000.0,49440000000,82391161650.72,98104161650.72
5,FMNB.OQ,Financials,41876000.0,66698000.0,64049000.0,350097000,395362660.24,219647660.24
6,HSC.N,Industrials,-22954000.0,191453000.0,36095000.0,741580000,1395236754.08,2622893754.08
7,KALV.OQ,Health Care,-37115000.0,-48380000.0,-48905000.0,83752000,263570418.54,207696418.54
8,DRNA.OQ,Health Care,-115831000.0,-120879000.0,-122922000.0,152195000,1932406072.0,1322493072.0
9,NERV.OQ,Health Care,-20652220.0,-23203760.0,-23221240.0,27779540,146373504.13,113857674.13
10,PLYM.N,Real Estate,-27739000.0,56858000.0,4182000.0,236658000,387281433.11,919134433.110001
11,EEX.N,Communication Services,-650800000.0,-18000000.0,-68000000.0,640200000,340057636.8,535457636.8
12,JBSS.OQ,Consumer Staples,56420000.0,99486000.0,81688000.0,238238000,986077118.0,1011590118.0
13,AMC.N,Communication Services,-3656800000.0,-471700000.0,-950300000.0,1214200000,2404029994.78,7939329994.78
14,AVYA.N,Information Technology,-687000000.0,626000000.0,199000000.0,364000000,1985734315.17,4289734315.17
15,COLB.OQ,Financials,,,,2347607000,2956596751.73,2846648751.73
16,ALRM.OQ,Information Technology,74921000.0,96083000.0,69265000.0,355651000,4728510195.88,4603045195.88
17,ATLO.OQ,Financials,,,,209486430,213381052.33,221123482.33
18,SAM.N,Consumer Staples,146638000.0,297604000.0,234048000.0,735636000,13244543038.72,13091851038.72
19,ACCD.OQ,Health Care,-48065000.0,-35020000.0,-43212000.0,-23773000,2927949753.69,2509011753.69
20,IRTC.OQ,Health Care,-51479000.0,-45708000.0,-51818000.0,135409000,5063180223.92,4770889223.92
21,IIN.OQ,Health Care,-2849000.0,2639000.0,-1501000.0,90745000,184680590.5,154476590.5
22,EXC.OQ,Utilities,2376000000.0,9661000000.0,3975000000.0,32224000000,42603249459.21,82124249459.2101
23,SYX.N,Industrials,59100000.0,81600000.0,77400000.0,175500000,1658866259.4,1580466259.4
24,AAOI.OQ,Information Technology,-80442000.0,-8803000.0,-33135000.0,273794000,261699441.94,364898441.94
25,EXTN.N,Energy,-149389000.0,142838000.0,-3937000.0,409538000,159672019.5,648110019.5
26,EFX.N,Industrials,441900000.0,937900000.0,554200000.0,2578600000,22003994129.95,24883594129.95
27,ORIC.OQ,Health Care,-53798000.0,-40698000.0,-41704000.0,87974000,1210161524.0,1023551524.0
28,CVET.OQ,Health Care,-104000000.0,89000000.0,-77000000.0,1256000000,4512797574.81,5388797574.81
29,CXW.N,Industrials,122934000.0,393858000.0,242618000.0,1376749000,866151723.84,2689296723.84
30,TRN.N,Industrials,-172300000.0,575700000.0,303100000.0,2030100000,3477360995.76,8567960995.76001
31,NTST.N,Real Estate,,21992000.0,3926000.0,164533000,496070790.48,614845790.480001
32,KNL.N,Industrials,17300000.0,132900000.0,89600000.0,427600000,815981053.3,1273081053.3
33,MGTX.OQ,Health Care,-53011910.0,-51288920.0,-54779240.0,190802100,699970283.55,520885893.55
34,GALT.OQ,Health Care,-20887000.0,-20800000.0,-20800000.0,45595000,129564914.85,99258914.8499999
35,AXTI.OQ,Information Technology,-920000.0,3542000.0,-778999.9999999991,187885000,472885000.0,459406000.00000095
36,ROL.N,Industrials,260824000.0,449730000.0,361401000.0,941360000,18278562213.34,18383085213.34
37,CNNE.N,Financials,,-106200000.0,-149800000.0,1488500000,3756072920.1,3432472920.1
38,AOS.N,Industrials,344900000.0,538900000.0,458900000.0,1848300000,9468469798.24,8892069798.24
39,EEFT.OQ,Information Technology,7084000.00000001,332598000.0,209637000.0,1579274000,6840173305.75,7438123305.74999
40,DKS.N,Consumer Discretionary,380456000.0,1040851000.0,731889000.0,1731598000,6634781883.75,5986043883.75
41,IAC.OQ,Communication Services,269726000.0,-103254000.0,-281921000.0,6597575000,20132354158.3,17928809158.3
42,CVX.N,Energy,-5543000000.0,18763000000.0,-759000000.0,131688000000,171329022177.0,199509022177.0
43,PACK.N,Materials,-23400000.0,69200000.0,12300000.0,531800000,1433186025.44,1828286025.44
44,ENS.N,Industrials,96696000.0,326014000.0,232664000.0,1300525000,3757019628.4,4418105628.4
45,BANF.OQ,Financials,99586000.0,143418000.0,124994000.0,1067885000,2037792382.56,1838834382.56
46,GAN.OQ,Consumer Discretionary,,,,15102000,984492526.08,927657526.08
47,AGCO.N,Industrials,427100000.0,911400000.0,639400000.0,2980000000,9070330903.2,10162730903.2
48,DK.N,Energy,-288100000.0,-48400000.0,-273400000.0,1666300000,1617543130.52,3401743130.52
49,HPE.N,Information Technology,-322000000.0,4214000000.0,1589000000.0,16049000000,16763757537.6,28518757537.6
50,PNC.N,Financials,2711000000.0,,7322000000.0,54010000000,66385479730.6,93094479730.6
51,PFBC.OQ,Financials,69322000.0,,128983000.0,522752000,772360775.16,132229775.159999
52,XPEL.OQ,Consumer Discretionary,16803630.0,23108550.0,21042350.0,35061890,1485005466.66,1464528966.66
53,KRNY.OQ,Financials,51270000.0,,94437000.0,1084177000,958656930.21,1694613930.21
54,SUI.N,Real Estate,152575000.0,648787000.0,290508000.0,3870637000,14440294505.28,17854509505.28
55,TSLA.OQ,Consumer Discretionary,690000000.0,4316000000.0,1994000000.0,22225000000,805706144042.67,799515144042.672
56,CDAY.N,Information Technology,11800000.0,109300000.0,59200000.0,1882300000,15075906306.0,15486206306.0
57,CLBK.OQ,Financials,57603000.0,,114338000.0,1011287000,1758395085.05,2134972085.05
58,CBB.N,Communication Services,-81000000.0,403800000.0,107200000.0,-140000000,773892838.35,2852492838.35
59,FCAP.OQ,Financials,10131000.0,,13637000.0,110639000,178476431.2,159790431.2
60,WRE.N,Real Estate,48892000.0,164521000.0,35920000.0,1411726000,1836080417.07,2916034417.07
61,CDNS.OQ,Information Technology,1075581000.0,716360000.0,577952000.0,2102894000,38241440100.0,37631460100.0
62,KEY.N,Financials,1223000000.0,1981000000.0,1854000000.0,17981000000,18269801522.76,33766801522.76
63,RYAM.N,Materials,-65879000.0,109509000.0,-42652000.0,682798000,543499816.86,1538153816.86
64,SILK.OQ,Health Care,-38900000.0,-34630000.0,-35375000.0,71891000,2039234587.2,1930484587.2
65,INOV.OQ,Health Care,21962000.0,189602000.0,74677000.0,708714000,4049717589.24,4849125589.24
66,NRIM.OQ,Financials,32888000.0,46214000.0,43008000.0,221575000,218867138.05,205873138.05
67,LIND.OQ,Consumer Discretionary,-70440000.0,-29362000.0,-60256000.0,123250000,832416854.34,1193080854.34
68,SELB.OQ,Health Care,-68318000.0,-60724000.0,-61493000.0,8397000,543392464.33,421720464.330001
69,LULU.OQ,Consumer Discretionary,557097000.0,983849000.0,803151000.0,1952218000,44131158656.55,43649577656.55
70,CDNA.OQ,Health Care,-19976000.0,-18271000.0,-25006000.0,99000000,4574055525.75,4360257525.75
71,MAS.N,Industrials,705000000.0,1280000000.0,1158000000.0,-235000000,14632915824.72,16298915824.72
72,OPI.OQ,Real Estate,73371000.0,369298000.0,116446000.0,1705754000,1165438987.92,3333049987.92
73,UMBF.OQ,Financials,286502000.0,395593000.0,347544000.0,3016948000,3721911341.4,5876365341.4
74,MSGE.N,Communication Services,,-169929000.0,-301410000.0,2841637000,2417652882.06,1514299882.06
75,UVE.N,Financials,-14303000.0,-17512000.0,-17823000.0,493901000,433663667.2,37354667.1999996
76,MIK.OQ,Consumer Discretionary,221242000.0,693549000.0,566693000.0,-1446464000,2276755290.0,3925161290.0
77,PD.N,Information Technology,-57195000.0,-55630000.0,-59644000.0,307938000,4427648133.72,4085601133.72
78,CHCT.N,Real Estate,14316000.0,50985000.0,26606000.0,353411000,1087151907.2,1254335907.2
79,SHEN.OQ,Communication Services,57460000.0,96049000.0,20119000.0,472428000,2196495025.66,2710360025.66
80,EAR.OQ,Health Care,,,,-3223000,2465703273.55,2633650273.55
81,CTSH.OQ,Information Technology,1392000000.0,2950000000.0,2394000000.0,10836000000,39932339053.53,37909339053.53
82,MODV.OQ,Health Care,25838000.0,131365000.0,110326000.0,394712000,2395190273.58,2212061273.58
83,PZN.N,Financials,8874000.0,56186000.0,55273000.0,31106000,629142508.28,642171508.28
84,PRDO.OQ,Consumer Discretionary,124816000.0,190648000.0,177470000.0,431295000,913202119.62,549472119.6200019
85,ADNT.N,Consumer Discretionary,,,,1213000000,3309137630.26,6289137630.26
86,YETI.N,Consumer Discretionary,98149000.0,175363000.0,144789000.0,122005000,6276019631.32,6277848631.32
87,APH.N,Information Technology,1203400000.0,1958100000.0,1650000000.0,5384900000,38402495385.87,40597895385.8701
88,CINF.OQ,Financials,793000000.0,1097000000.0,1017000000.0,9864000000,14052735508.02,14105735508.02
89,TGNA.N,Communication Services,322429000.0,822445000.0,688903000.0,1590377000,3731491266.1,7487754266.1
90,ABR.N,Financials,102320000.0,109771000.0,102094000.0,1184610000,1897816468.82,7038024468.82
91,HSY.N,Consumer Staples,1278708000.0,2039759000.0,1822070000.0,2237883000,30642886953.32,34104483953.32
92,SVMK.OQ,Information Technology,-94587000.0,-39137000.0,-84922000.0,301984000,3824120584.76,3831877584.7600102
93,CRBP.OQ,Health Care,-129238230.0,-128073200.0,-129188230.0,6157570,228581290.08,164567230.08
94,ALGN.OQ,Health Care,1775888000.0,459802000.0,391033000.0,3233865000,48505607142.72,47544764142.7201
95,GEO.N,Real Estate,139173000.0,403728000.0,269754000.0,996830000,1029967941.27,3656585941.27
96,PFC.OQ,Financials,,,,982276000,1087458485.4,1098075485.4
97,TTEK.OQ,Industrials,178984000.0,285069000.0,260350000.0,1037319000,7169605909.83,7308397909.83
